# gunzip -c exp/mono/phone_stats.*.gz | steps/diagnostic/analyze_phone_length_stats.py data/lang 
# Started at Fri Apr  7 19:42:14 IST 2017
#
analyze_phone_length_stats.py: WARNING: optional-silence SIL is seen only 67.5324675325% of the time at utterance begin.  This may not be optimal.
At utterance begin, SIL accounts for 67.5% of phone occurrences, with duration (median, mean, 95-percentile) is (18,27.7,61) frames.
At utterance begin, nonsilence accounts for 30.5% of phone occurrences, with duration (median, mean, 95-percentile) is (15,23.2,57) frames.
At utterance begin, p_B accounts for 15.6% of phone occurrences, with duration (median, mean, 95-percentile) is (23,35.0,57) frames.
At utterance begin, i_B accounts for 3.9% of phone occurrences, with duration (median, mean, 95-percentile) is (3,4.7,3) frames.
At utterance begin, NJ_B accounts for 2.6% of phone occurrences, with duration (median, mean, 95-percentile) is (17,27.2,26) frames.
At utterance begin, SIL_S accounts for 1.9% of phone occurrences, with duration (median, mean, 95-percentile) is (3,34.7,24) frames.
At utterance begin, d_B accounts for 1.9% of phone occurrences, with duration (median, mean, 95-percentile) is (3,3.0,3) frames.
At utterance begin, b_B accounts for 1.3% of phone occurrences, with duration (median, mean, 95-percentile) is (3,3.0,3) frames.
At utterance begin, s_B accounts for 1.3% of phone occurrences, with duration (median, mean, 95-percentile) is (7,9.0,7) frames.
At utterance begin, t_B accounts for 1.3% of phone occurrences, with duration (median, mean, 95-percentile) is (3,3.0,3) frames.
At utterance begin, @_B accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (3,3.0,3) frames.
At utterance begin, dZ_B accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (67,67.0,67) frames.
At utterance begin, g_B accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (3,3.0,3) frames.
At utterance begin, l_B accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (3,3.0,3) frames.
At utterance end, SIL accounts for 83.1% of phone occurrences, with duration (median, mean, 95-percentile) is (26,30.5,63) frames.
At utterance end, nonsilence accounts for 16.2% of phone occurrences, with duration (median, mean, 95-percentile) is (3,3.0,3) frames.
At utterance end, m_E accounts for 5.8% of phone occurrences, with duration (median, mean, 95-percentile) is (3,3.0,3) frames.
At utterance end, KK_E accounts for 1.9% of phone occurrences, with duration (median, mean, 95-percentile) is (3,3.0,3) frames.
At utterance end, i_E accounts for 1.9% of phone occurrences, with duration (median, mean, 95-percentile) is (3,3.0,3) frames.
At utterance end, @_E accounts for 1.3% of phone occurrences, with duration (median, mean, 95-percentile) is (3,3.0,3) frames.
At utterance end, a_E accounts for 1.3% of phone occurrences, with duration (median, mean, 95-percentile) is (3,3.0,3) frames.
At utterance end, t_E accounts for 1.3% of phone occurrences, with duration (median, mean, 95-percentile) is (3,3.0,3) frames.
At utterance end, SIL_S accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (3,3.0,3) frames.
At utterance end, aj_E accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (3,3.0,3) frames.
